"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"231",2019,"1","1","1","2","0","S","S","S","1","0","6","S","S","S","1","3","S","1","4","4"
"232",2019,"2","1","2","S","S","3","4","4","2","S","S","2","3","4","1","1","S","3","2","4"
"233",2019,"1","1","1","4","6","S","S","S","1","0","E","S","S","S","3","1","5","3","2","3"
"234",2019,"2","1","2","S","S","2","3","3","2","S","S","2","3","4","1","1","S","1","3","4"
"235",2019,"2","1","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","3","3"
"236",2019,"1","1","2","S","S","4","3","4","2","S","S","4","3","4","1","1","S","4","3","4"
"237",2019,"2","1","2","S","S","4","4","4","2","S","S","4","4","4","3","2","S","1","2","2"
"238",2019,"2","2","2","S","S","4","4","4","2","S","S","4","4","4","3","1","S","2","2","3"
"239",2019,"1","2","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","3","3"
"240",2019,"1","2","2","S","S","4","4","2","2","S","S","4","4","4","3","6","5","2","4","2"
"241",2019,"2","2","2","S","S","3","4","4","2","S","S","3","3","4","1","1","S","3","2","2"
"242",2019,"1","2","1","1","1","S","S","S","1","0","5","S","S","S","2","4","1","2","4","3"
"243",2019,"2","2","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","1","5","4"
"244",2019,"1","2","2","S","S","4","4","4","2","S","S","3","3","3","1","1","S","1","2","2"
"245",2019,"2","2","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","2","3","4"
"246",2019,"N","2","2","S","S","4","4","4","2","S","S","4","4","4","1","3","S","2","2","3"
"247",2019,"1","2","2","S","S","2","4","3","2","S","S","2","4","3","1","1","S","3","4","4"
"248",2019,"2","2","2","S","S","3","3","3","2","S","S","4","4","4","3","1","S","2","1","1"
"249",2019,"1","2","2","S","S","4","4","4","2","S","S","3","3","4","1","1","S","1","2","2"
"250",2019,"2","2","2","S","S","3","4","4","2","S","S","3","4","4","3","1","S","1","2","2"
"251",2019,"1","2","2","S","S","2","3","3","2","S","S","2","3","3","1","4","S","1","4","5"
"252",2019,"1","2","2","S","S","4","4","4","2","S","S","4","4","4","3","1","S","2","3","2"
"253",2019,"1","2","2","S","S","3","4","4","2","S","S","3","4","4","1","1","S","1","6","4"
"254",2019,"1","2","1","1","0","S","S","S","2","S","S","4","4","4","1","2","S","3","4","2"
"255",2019,"2","2","1","3","15","S","S","S","1","1","E","S","S","S","1","1","5","3","1","1"
