"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"18442",2018,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Sometimes","Sometimes"
"18443",2018,"M","9th","Yes","15","Today","Yes","No","Yes","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
"18444",2018,"M","9th","Yes","100","Last Year","Yes","Yes","Yes","Yes","1","Last Month","Yes","Yes","Yes","Yes","Yes","1","Yes","I do not use the internet","Most of the time"
"18445",2018,"M","9th","Yes","15","Last 6 Months","Yes","Yes","Yes","Yes","2","Last Year","No","Yes","Yes","","","","","",""
"18446",2018,"M","9th","Yes","100","Last Year","Yes","Yes","Yes","Yes","6","Last Month","No","Yes","Yes","Yes","No","5","No","Rarely","Never"
"18447",2018,"F","9th","Yes","75","Last Month","Yes","Yes","Yes","Yes","1","5 Years Ago","No","No","No","Yes","Yes","6","Yes","Most of the time","Sometimes"
"18448",2018,"M","9th","Yes","7","Today","Yes","Yes","Yes","Yes","1","Last Year","Yes","No","Yes","Yes","Yes","6","Yes","Rarely","Rarely"
"18449",2018,"M","9th","Yes","100","1-4 Years Ago","Yes","Yes","Yes","No","1","Today","No","No","No","Yes","No","6","Yes","Always","Most of the time"
"18450",2018,"M","9th","Yes","75","Last 6 Months","Yes","Yes","Yes","Yes","1","Last Year","Yes","No","No","No","No","3","No","Always","Rarely"
"18451",2018,"M","10th","Yes","15","Today","Yes","Yes","Yes","No","1","Today","Yes","Yes","Yes","Yes","Yes","6","No","Never","Never"
"18452",2018,"M","10th","Yes","100","5 Years Ago","Yes","Yes","Yes","No","1","Today","No","No","No","Yes","No","2","Yes","Rarely","Always"
"18453",2018,"M","9th","Yes","7","Last Year","Yes","Yes","Yes","Yes","1","1-4 Years Ago","No","No","No","No","No","6","No","Rarely","Rarely"
"18454",2018,"F","10th","Yes","7","1-4 Years Ago","Yes","Yes","Yes","Yes","3","Last 6 Months","Yes","Yes","Yes","Yes","Yes","6","No","Always","Always"
"18455",2018,"M","9th","Yes","7","1-4 Years Ago","Yes","Yes","Yes","Yes","7","Last 7 Days","Yes","Yes","Yes","Yes","Yes","6","No","Rarely","Sometimes"
"18456",2018,"M","9th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","7","Last 7 Days","Yes","","Yes","Yes","Yes","6","No","I do not use the internet","I do not use the internet"
"18457",2018,"F","12th","Yes","7","Last Month","Yes","Yes","Yes","Yes","6","Last 7 Days","Yes","Yes","Yes","Yes","Yes","4","Yes","Sometimes","Rarely"
"18458",2018,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Sometimes","Most of the time"
"18459",2018,"F","12th","Yes","35","Today","No","No","No","Yes","1","1-4 Years Ago","No","No","No","Yes","No","1","Yes","Sometimes","Sometimes"
"18460",2018,"M","12th","Yes","75","Last 7 Days","Yes","Yes","Yes","Yes","1","5 Years Ago","No","No","No","Not Sure","No","1","Yes","Rarely","Sometimes"
"18461",2018,"M","12th","Yes","7","1-4 Years Ago","Yes","Yes","Yes","Yes","1","Last Year","Yes","No","Yes","Yes","No","2","Yes","Rarely","Rarely"
"18462",2018,"F","9th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","2","Last 6 Months","Yes","No","Yes","Yes","Yes","2","Yes","Rarely","Rarely"
"18463",2018,"F","11th","Yes","100","Last Year","Yes","Yes","Yes","Yes","2","Last 6 Months","Yes","Yes","Yes","Not Sure","Yes","6","Yes","Sometimes","Sometimes"
"18464",2018,"F","11th","Yes","75","Last Month","Yes","No","No","Yes","7","Last 7 Days","Yes","Yes","Yes","Yes","Yes","6","Yes","Rarely","Always"
"18465",2018,"M","9th","Yes","35","Last 7 Days","Yes","Yes","Yes","No","1","Today","No","No","No","Yes","No","1","Yes","I do not use the internet","I do not use the internet"
"18466",2018,"F","11th","Yes","15","Last Month","Yes","Yes","Yes","No","1","Today","Yes","No","No","Yes","No","6","Yes","Sometimes","Sometimes"
"18467",2018,"F","11th","Yes","75","Last Year","Yes","Yes","Yes","Yes","3","Last 6 Months","Yes","Yes","Yes","Yes","No","6","Yes","Sometimes","Sometimes"
"18468",2018,"F","11th","Yes","15","Last 7 Days","Yes","Yes","Yes","No","1","Today","No","No","No","No","No","6","Yes","Rarely","Never"
"18469",2018,"F","10th","Yes","15","Last 7 Days","Yes","No","No","Yes","1","5 Years Ago","Yes","No","No","Yes","No","3","No","Most of the time","Never"
"18470",2018,"F","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Most of the time","Sometimes"
"18471",2018,"F","11th","Yes","15","Today","Yes","No","Yes","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
"18472",2018,"F","10th","Yes","15","Today","Yes","Yes","Yes","No","1","Today","No","No","No","Yes","No","2","Yes","Rarely","Sometimes"
"18473",2018,"M","9th","Yes","7","Last 6 Months","Yes","Yes","Yes","Yes","3","Last 6 Months","Yes","Yes","Yes","Not Sure","Yes","6","No","Always","I do not use the internet"
"18474",2018,"M","11th","Yes","100","Today","Yes","Yes","Yes","Yes","1","Last Year","No","No","No","","","","","",""
"18475",2018,"M","10th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","2","Last Month","Yes","Yes","Yes","No","Yes","6","No","Rarely","Rarely"
"18476",2018,"M","11th","Yes","15","Today","Yes","No","No","Yes","2","Last 6 Months","Yes","Yes","Yes","Yes","No","5","Yes","Rarely","Most of the time"
"18477",2018,"M","9th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","2","Last Year","Yes","Yes","Yes","No","No","6","Yes","Rarely","Rarely"
"18478",2018,"M","9th","Yes","7","5 Years Ago","Yes","Yes","Yes","No","1","Today","Yes","No","No","No","No","1","No","Never","Rarely"
"18479",2018,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Most of the time"
"18480",2018,"M","11th","Yes","1","Today","Yes","Yes","No","Yes","6","Last 7 Days","Yes","Yes","Yes","","","","","",""
"18481",2018,"M","9th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","No","No","1","","",""
"18482",2018,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Rarely","I do not use the internet"
"18483",2018,"F","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Rarely","Rarely"
"18484",2018,"F","9th","Yes","100","1-4 Years Ago","Yes","Yes","Yes","No","1","Today","Yes","Yes","Yes","Not Sure","Yes","6","No","Rarely","Rarely"
"18485",2018,"F","10th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Rarely","Sometimes"
"18486",2018,"F","9th","Yes","75","Last 7 Days","Yes","Yes","Yes","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","Never"
